Trial,Bake time (min),Initial mass (g),Final mass (g),dmass (g),TrialName,Moisture loss,Trial2,dt,PeakForce_N,MaxForce_N,Threshold_N,FractureEnergy_J
74,4,2.6,1.8,0.8,Chip 84.fig,0.307692308,84,2.4125,6.166655795,15.39477067,3.078954135,0.032390646
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
