TrialName,dt,PeakForce_N,MaxForce_N,Threshold_N,FractureEnergy_J
Brand 1.fig,3.2125,7.3284974426252,18.4009582791254,3.68019165582509,0.0653391101236082
Brand 10.fig,3.675,11.8760673694825,12.5259362962581,2.50518725925161,0.0772050678059346
Brand 2.fig,3.7,13.1505654972756,14.9506843008806,2.99013686017612,0.076943139653907
Brand 3.fig,2.9625,7.60941616098816,10.3975500953664,2.07951001907328,0.0760096646741737
Brand 4.fig,3.8,7.83660482391168,9.68690228673321,1.93738045734664,0.0591410783459387
Brand 5.fig,3.3125,6.31546492362431,17.3615470027996,3.47230940055992,0.0778875738513163
Brand 6.fig,3.5125,3.86782838597365,15.5836411934147,3.11672823868294,0.0792025483287249
Brand 7.fig,3.4875,8.71286750186734,13.9912931829308,2.79825863658616,0.0661553516503217
Brand 8.fig,3.0125,5.88422244428919,25.4455848941429,5.08911697882859,0.0951473301371872
Brand 9.fig,3.6875,3.25659780480644,8.44894678741518,1.68978935748304,0.0518030310925656
